Feature	Variable Importance
FOXL1_MA0033.1	0.024273851
H3K4me1	0.021968653
ETS1	0.018209008
ChIA-PET2	0.012913282
YY1	0.012441691
MZF1_MA0056.1	0.010660761
E2F6	0.009867753
ChIA-PET1	0.009474132
ZNF384_MA1125.1	0.009371318
GATA2	0.008421254
STAT1	0.008353847
TFAP2A_MA0003.1	0.00754171
SPI1	0.006942219
SUZ12	0.006807737
SIN3A	0.006717263
H3K27me3	0.006714444
DNA Methylation	0.006526488
H4K20me1	0.006397399
GATA3_MA0037.1	0.006319458
ATF1	0.005964272
TEAD4	0.005952749
Dnase	0.005329149
FOXC1_MA0032.1	0.005299466
TAF1	0.005264106
ZNF274	0.005051848
GATA2_MA0036.1	0.005006511
BHLHE40	0.004993151
LMX1B_MA0703.1	0.004945996
FOXL1_MA0033.2	0.004696006
CTBP1	0.004555396
DLX6_MA0882.1	0.003917019
SHOX_MA0630.1	0.003797921
SPI1_MA0080.1	0.00372532
RHOXF1_MA0719.1	0.003578435
NKX6.2_MA0675.1	0.003525282
SRY_MA0084.1	0.00346304
SMC3	0.003386525
MAX	0.003327482
TBP	0.003309711
MCM3	0.003274311
YY1_MA0095.1	0.002746387
SMAD5	0.002717214
ESRRA	0.002587411
MCM5	0.002415251
HOXA5_MA0158.1	0.002293158
OTX1_MA0711.1	0.002234038
ETS1_MA0098.1	0.002178299
ZNF354C_MA0130.1	0.002145295
BRCA1	0.002113204
RCOR1	0.002064696
KLF5_MA0599.1	0.002014053
MCM2	0.001894336
FOXI1_MA0042.1	0.001879999
SOX15_MA1152.1	0.001855698
SOX10_MA0442.1	0.001708782
NFIX_MA0671.1	0.001649771
VDR_MA0693.2	0.001576031
SPIB_MA0081.1	0.001551802
PRRX1_MA0716.1	0.001550237
STAT2	0.001540347
HOXB2_MA0902.1	0.001517575
HDAC2	0.001503303
MYC	0.001438791
PDX1_MA0132.2	0.001425477
TARDBP	0.001399446
CDX1_MA0878.1	0.001325979
ISX_MA0654.1	0.001296449
FOXD2_MA0847.1	0.001285284
E2F1	0.001281628
RAX2_MA0717.1	0.001257205
THAP1_MA0597.1	0.001244582
BSX_MA0876.1	0.001244343
POLR2AphosphoS2	0.001221067
UNCX_MA0721.1	0.001186173
VAX1_MA0722.1	0.001179996
ELK1	0.001179141
NFATC2_MA0152.1	0.001178255
POLR2AphosphoS5	0.001169514
NKX3.1_MA0124.1	0.001157357
BARX1_MA0875.1	0.001157346
HOXB3_MA0903.1	0.001103504
FOXO4_MA0848.1	0.00108733
