Feature,VariableImportance
chiapetpol2.2,0.0762242699430603
chiapetpol2.1,0.0704583138148641
FOXL1_MA0033.1,0.0230118870237905
H3K4me1,0.0167267142903027
ETS1,0.0153808137533453
YY1,0.0110233969005626
MZF1_MA0056.1,0.00952793513143353
ZNF384_MA1125.1,0.00931215488228576
E2F6,0.00822899630130684
GATA2,0.00782023678480677
TFAP2A_MA0003.1,0.00670555078469537
STAT1,0.006646396527791
GATA3_MA0037.1,0.00658564773458273
SUZ12,0.00656244778877422
H3K27me3,0.00586525240702096
H4K20me1,0.0058391741422106
SPI1,0.00575018523199803
SIN3A,0.00574535124837366
FOXC1_MA0032.1,0.00536508549156621
TAF1,0.0053447852234244
GATA2_MA0036.1,0.0053037460660889
ATF1,0.00515126055268503
Methy,0.00497790515221038
ZNF274,0.00470074169662248
Dnase,0.00464644645706739
LMX1B_MA0703.1,0.00463555679188457
FOXL1_MA0033.2,0.00446975837051852
DLX6_MA0882.1,0.00423154851102969
BHLHE40,0.00414131193335945
TEAD4,0.00387419261533635
SPI1_MA0080.1,0.00366611254394209
NKX6-2_MA0675.1,0.00359359653756814
SRY_MA0084.1,0.00349870886509626
CTBP1,0.00344943997135447
SHOX_MA0630.1,0.00339508432221081
RHOXF1_MA0719.1,0.00300076872728049
SMC3,0.00299945024515547
MCM3,0.00284677201279194
TBP,0.00284432768614457
ZNF354C_MA0130.1,0.00263991562777476
MAX,0.00243258806723507
MCM5,0.00228316342606114
ESRRA,0.00223637962292834
KLF5_MA0599.1,0.00223611467430216
OTX1_MA0711.1,0.00219578043892438
YY1_MA0095.1,0.00217807559274526
ETS1_MA0098.1,0.00204735039927437
HOXA5_MA0158.1,0.00204568488184953
BRCA1,0.00194195600855445
MCM2,0.00185320010360539
SMAD5,0.00179424088307288
FOXI1_MA0042.1,0.0017658714342963
PRRX1_MA0716.1,0.00173850667452626
SOX10_MA0442.1,0.00169786532630484
SOX15_MA1152.1,0.00150795936084448
RCOR1,0.00145231775105928
PDX1_MA0132.2,0.00143749570034117
SPIB_MA0081.1,0.00141623178937249
ISX_MA0654.1,0.0013685153073064
RAX2_MA0717.1,0.00135097237798052
